"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","La candidata y futura diputada, sobellamejias recorriendo las calles de #Sanare en la caravana del #cambio #MUD #6D https://t.co/zyl53j5OIC",FALSE,0,NA,2015-11-15 23:59:56,FALSE,NA,"666042985226903556",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HRosalesP",0,FALSE,FALSE,NA,NA
"2","RT @DolarToday: Solo faltan 21 días para el cambio, este #6D ¡todos a votar! https://t.co/7g80GAseVl",FALSE,0,NA,2015-11-15 23:59:53,FALSE,NA,"666042969431138304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paolettopalante",161,TRUE,FALSE,NA,NA
"3","RT @aleman72psuv: El Mensaje para el Mundo entero es q somos Chavistas y Revolucionarios el #6D tendremos una victoria Contundente https://…",FALSE,0,NA,2015-11-15 23:59:51,FALSE,NA,"666042964892852224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elfantasmacc",12,TRUE,FALSE,NA,NA
"4","Apure a una sola voz @ElaFerris se suma al cambio que se inicia el #6D https://t.co/yyqGbCNjY8",FALSE,1,NA,2015-11-15 23:59:49,FALSE,NA,"666042955346628609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AnghelsSantana",3,FALSE,FALSE,NA,NA
"5","@trafficvalencia @notiactual naguara que locura #6D A VOTAR Y A BOTARLOS",FALSE,0,"trafficVALENCIA",2015-11-15 23:59:49,FALSE,"666039467510095872","666042955057229825","95168202","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","MarchelaVillal1",0,FALSE,FALSE,NA,NA
"6","RT @CaprilesPrensa: Así lo dijo @hcapriles: No hay forma que el gobierno gane las elecciones el #6D - VIDEO:  https://t.co/7MrJLTlFsk",FALSE,0,NA,2015-11-15 23:59:45,FALSE,NA,"666042939563470849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",12,TRUE,FALSE,NA,NA
"7","RT @SairamRivas: #ElectoresLibres #UnaOposicionDeVerdad Conoce bien tu tarjetón este #6D <U+2193> https://t.co/sIBBI0BiIj",FALSE,0,NA,2015-11-15 23:59:32,FALSE,NA,"666042884278325249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JLMaracaibo",11,TRUE,FALSE,NA,NA
"8","RT @TomasGuanipa: No hay duda que #Venezuela se dirige hacia un cambio. Ese 80% de descontento se expresará con su voto este #6D #HoyArranc…",FALSE,0,NA,2015-11-15 23:59:29,FALSE,NA,"666042869770244097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oscararenas11",62,TRUE,FALSE,NA,NA
"9","RT @ResistenciaMbo: Encuesta #10Nov: ¿este #6D cree usted que saldremos de esta crisis que estamos viviendo?",FALSE,0,NA,2015-11-15 23:59:28,FALSE,NA,"666042864640618496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LasGoletas",47,TRUE,FALSE,NA,NA
"10","@guardianjosue  pero este #6d veraz la paliza que le vamos a dar! nadie apoya a maduro nada amas tu -.-  @Esloqueopino @luiscastillo14",FALSE,0,"guardianjosue",2015-11-15 23:59:19,FALSE,"665742917076656128","666042830440292352","211283668","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","adam911ist",0,FALSE,FALSE,NA,NA
"11","A 21 días del #6D empecemos con la campaña #yocuidomivoto. Busca al coordinad@r de tu centro y pregunta como apoyar. Venezuela te necesita",FALSE,0,NA,2015-11-15 23:59:14,FALSE,NA,"666042808252387329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Maricarmenha",0,FALSE,FALSE,NA,NA
"12","El Baúl también se expresó #CojedesQuiereCambio jdstw #6D junto a los candidatos de la @MUD_Cojedes @josegcorrea13 https://t.co/olF53hrdK7",FALSE,0,NA,2015-11-15 23:59:09,FALSE,NA,"666042787473850368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","villarroelfd",5,FALSE,FALSE,NA,NA
"13","El Mensaje para el Mundo entero es q somos Chavistas y Revolucionarios el #6D tendremos una victoria Contundente https://t.co/tu0Nf14oAR",FALSE,4,NA,2015-11-15 23:59:04,FALSE,NA,"666042767022407680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aleman72psuv",12,FALSE,FALSE,NA,NA
"14","RT @TomasGuanipa: #Caracas decidió cambiar. Junto a nuestro pueblo este #6D vamos con el voto a vencer la crisis #HoyArrancaElCambio https:…",FALSE,0,NA,2015-11-15 23:58:59,FALSE,NA,"666042743198769153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oscararenas11",71,TRUE,FALSE,NA,NA
"15","RT @ramonmuchacho: #LaFuerzaDelProgreso desde Parque Miranda #6D #Unidad https://t.co/WaJZCzwJ3N",FALSE,0,NA,2015-11-15 23:58:52,FALSE,NA,"666042713452711937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marimarbbg",148,TRUE,FALSE,NA,NA
"16","@HillelNeuer @morandavid Venezuela y Argentina quieren cambio! @MariaCorinaYa @mauriciomacri presidente! #6D",FALSE,0,"morandavid",2015-11-15 23:58:51,FALSE,"665850052032774145","666042713255620609","45836317","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","BIGSHOWGIRL",0,FALSE,FALSE,NA,NA
"17","RT @RafaelDGuzmanR: ¡Parque Miranda a casa llena!!! somos el reflejo de Venezuela, el #6D #LaFuerzaDelProgreso llega a la Asamblea https://…",FALSE,0,NA,2015-11-15 23:58:50,FALSE,NA,"666042708964823041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aura_rojas",71,TRUE,FALSE,NA,NA
"18","En #Miranda por el Cto1 #CambioIndetenible con @delsasolorzano este #6D y con ella vamos a lograr la LEY DE AMNISTÍA https://t.co/Iuch5t5B9T",FALSE,0,NA,2015-11-15 23:58:46,FALSE,NA,"666042689222254592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sandy_19_",1,FALSE,FALSE,NA,NA
"19","RT @LuisFlorido: #15nov Con pequeñas acciones vamos construyendo #LaMejorVzla hoy decimos en Rio Claro: ¡Este #6D #ArrancaElCambio! https:/…",FALSE,0,NA,2015-11-15 23:58:44,FALSE,NA,"666042681655709701",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frasesdegualo",17,TRUE,FALSE,NA,NA
"20","RT @alcaldeledezma: Mitzy: La familia Venezolana se enfrenta a la extinción del plato navideño! el #6D podemos cambiar esta historia! https…",FALSE,0,NA,2015-11-15 23:58:44,FALSE,NA,"666042680779124736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KRikeros",123,TRUE,FALSE,NA,NA
"21","RT @anatelorza: El #6D VOTA Y BOTA AL REGIMEN https://t.co/m4B0RywUv6",FALSE,0,NA,2015-11-15 23:58:41,FALSE,NA,"666042669748105216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Ydch",2,TRUE,FALSE,NA,NA
"22","RT @ADemocratica: #Junin #Bolivar #Ureña #Delicias #Independencia #Libertad Decidieron #RecuperarLaFrontera #6D junto a @laidygomezf https:…",FALSE,0,NA,2015-11-15 23:58:37,FALSE,NA,"666042653189005313",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","f2nuneztenorio",16,TRUE,FALSE,NA,NA
"23","RT @JacquelinePSUV: Y ante cualquier circunstancia este #6D VENCEREMOS #SomosLosDeChávez #VictoriaPerfecta https://t.co/uhmbtH0oZ5",FALSE,0,NA,2015-11-15 23:58:35,FALSE,NA,"666042642304643073",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","AlbertoMarti402",42,TRUE,FALSE,NA,NA
"24","Hay que permitirle al empresario trabajar de #Venezuela #SoyIndependiente https://t.co/WmQ0JGWHDQ   #6D #DomingoDeGanarSeguidores",FALSE,2,NA,2015-11-15 23:58:32,FALSE,NA,"666042631118569476",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","candidatomiguel",4,FALSE,FALSE,NA,NA
"25","RT @adrianadelia: ¡Esto es solo #Miranda! el #6D el #cambio y el progreso se harán sentir en toda #Venezuela 

#LaFuerzaDelProgreso https:/…",FALSE,0,NA,2015-11-15 23:58:30,FALSE,NA,"666042621844942848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrachoPerozo",163,TRUE,FALSE,NA,NA
"26","RT @liliantintori: Faltan 3 semanas para el #6D. Venezuela toda está Unida #PorLaLibertad. El cambio viene y nada lo detiene! https://t.co/…",FALSE,0,NA,2015-11-15 23:58:21,FALSE,NA,"666042583756443649",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","josesotillet",536,TRUE,FALSE,NA,NA
"27","RT @Yonnym26: Este #6D #Vota  #LaFuerzaDelProgreso no te equivoques la tarjeta del cambio y del progreso es la de la manito. https://t.co/4…",FALSE,0,NA,2015-11-15 23:58:15,FALSE,NA,"666042562071916545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DayaCarol20",1,TRUE,FALSE,NA,NA
"28","Ayer comenzó la #campañaelectoral para el #6D. #venezuela #cne #yovotoel6d #elecciones #elecciones6D https://t.co/bJ7gcT1p2J",FALSE,0,NA,2015-11-15 23:58:15,FALSE,NA,"666042558808739840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Autolito",0,FALSE,FALSE,NA,NA
"29","RT @alcaldeledezma: Mitzy: La familia Venezolana se enfrenta a la extinción del plato navideño! el #6D podemos cambiar esta historia! https…",FALSE,0,NA,2015-11-15 23:58:12,FALSE,NA,"666042547156983808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ABPVenezuela",123,TRUE,FALSE,NA,NA
"30","RT @JoseAGuerra: Barrio El 70 olvidado por este gobierno mentiroso, incapaz y corrupto. Desde el #6D Comienza el CAMBIO https://t.co/z07b3r…",FALSE,0,NA,2015-11-15 23:58:05,FALSE,NA,"666042520112144384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paraguanarebel",133,TRUE,FALSE,NA,NA
"31","RT @OmarBastos: ¿Supiste lo de los atentandos en París?
—Acá matan más 
Y que ahora bombardean siria
—800KG DE COCA
Pero a los puestos
—#6D…",FALSE,0,NA,2015-11-15 23:57:58,FALSE,NA,"666042487635582976",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","PaoUsech",3,TRUE,FALSE,NA,NA
"32","RT @alcaldeledezma: Mitzy: La familia Venezolana se enfrenta a la extinción del plato navideño! el #6D podemos cambiar esta historia! https…",FALSE,0,NA,2015-11-15 23:57:50,FALSE,NA,"666042455893131265",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","0rlandoAraujo",123,TRUE,FALSE,NA,NA
"33","RT @DolarToday: Solo faltan 21 días para el cambio, este #6D ¡todos a votar! https://t.co/7g80GAseVl",FALSE,0,NA,2015-11-15 23:57:48,FALSE,NA,"666042448800559106",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","falsoapostol",161,TRUE,FALSE,NA,NA
"34","Roy Chaderton: Espero una hecatombe para la derecha el #6D https://t.co/mUAgkgqKkv via @YSVenezolano",FALSE,0,NA,2015-11-15 23:57:46,FALSE,NA,"666042437811310592",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","johan_delgadod",0,FALSE,FALSE,NA,NA
"35","Roy Chaderton: Espero una hecatombe para la derecha el #6D https://t.co/0f2N5N96YF https://t.co/AcxPeOMkc4",FALSE,0,NA,2015-11-15 23:57:44,FALSE,NA,"666042431264157696",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","OscarStMarquez",0,FALSE,FALSE,NA,NA
"36","RT @delsasolorzano: Se habla de lo que va a ocurrir el #6D y hablamos con la verdad: Viene el cambio para Venezuela #LaFuerzaDelProgreso ht…",FALSE,0,NA,2015-11-15 23:57:42,FALSE,NA,"666042423324315648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marimarbbg",104,TRUE,FALSE,NA,NA
"37","RT @prodavinci: Al límite // #6D: ¿Una transición color de hormiga?;  por Luis García Mora https://t.co/PkMdzHTxsj",FALSE,0,NA,2015-11-15 23:57:39,FALSE,NA,"666042411051782144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","As7deCorazones",3,TRUE,FALSE,NA,NA
"38","RT @DolarToday: No hay diferencia entre apoyar la revolución y ser narco. Este #6D podemos cambiar el rumbo de Venezuela https://t.co/wGT1b…",FALSE,0,NA,2015-11-15 23:57:25,FALSE,NA,"666042348871262208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AguilaEnCumbre",1333,TRUE,FALSE,NA,NA
"39","Este #6D #ArrancaElCambio vamos con mucha Fuerza y con mucha Fe a construir #LaMejorVzla",FALSE,0,NA,2015-11-15 23:57:24,FALSE,NA,"666042346392444928",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ProfesorJB",1,FALSE,FALSE,NA,NA
"40","#6D Votar es facil!!! https://t.co/BBcfpKpVrO",FALSE,0,NA,2015-11-15 23:57:22,FALSE,NA,"666042337571794945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NelsonAlen",0,FALSE,FALSE,NA,NA
"41","RT @RafaelDGuzmanR: ¡Parque Miranda a casa llena!!! somos el reflejo de Venezuela, el #6D #LaFuerzaDelProgreso llega a la Asamblea https://…",FALSE,0,NA,2015-11-15 23:57:16,FALSE,NA,"666042314297593858",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BELKYS1910",71,TRUE,FALSE,NA,NA
"42","RT @ArbitroE: El #6D ¡MIRA! que no defenderemos nuestros derechos electorales #ElÁrbitroEresTÚ https://t.co/AsGrzlKWXV",FALSE,0,NA,2015-11-15 23:57:16,FALSE,NA,"666042313240629250",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Julybell05",1574,TRUE,FALSE,NA,NA
"43","RT @ComandoSB: “Por eso, el #6D, con nuestros votos, vamos a salir de esta terrible circunstancia que es este gobierno”, @hcapriles",FALSE,0,NA,2015-11-15 23:57:10,FALSE,NA,"666042288888508416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dmartinez23",30,TRUE,FALSE,NA,NA
"44","RT @comandolara: A partir del 7D queremos dar pasos de progreso y desarrollo por #LaraC3 y #Venezuela #6D https://t.co/6pxyE3JcKu",FALSE,0,NA,2015-11-15 23:57:04,FALSE,NA,"666042262040780800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","josealee10",8,TRUE,FALSE,NA,NA
"45","RT @delsasolorzano: ¡No hay obstáculo que juntos no podamos superar!, el #6D vamos a cambiar para progresar #LaFuerzaDelProgreso https://t.…",FALSE,0,NA,2015-11-15 23:57:02,FALSE,NA,"666042254444896257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnaZamb61",141,TRUE,FALSE,NA,NA
"46","RT @villarroelfd: San Carlos se expresó y a una sola voz grito #CojedesQuiereCambio este #6D ganaremos 4-0 a la AN @MUD_Cojedes https://t.c…",FALSE,0,NA,2015-11-15 23:57:01,FALSE,NA,"666042248795201537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","josegcorrea13",17,TRUE,FALSE,NA,NA
"47","Salagamos todos a Votar este #6D con Fe Esperanza optimismo que todo va a cambiar para mejor #LaFronteraVotaUnidad con @laidygomezf",FALSE,0,NA,2015-11-15 23:57:01,FALSE,NA,"666042248442814464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PjLibertad",0,FALSE,FALSE,NA,NA
"48","#Hoy aportamos nuestro granito de arena llevando mensajes de #Unidad y cambio a #Mariara #6D #VOTA #Unidad https://t.co/sEcXbNqpjV",FALSE,0,NA,2015-11-15 23:56:57,FALSE,NA,"666042231430750208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngelaLorenaHDs",3,FALSE,FALSE,NA,NA
"49","RT @ramonmuchacho: #LaFuerzaDelProgreso desde Parque Miranda #6D #Unidad https://t.co/WaJZCzwJ3N",FALSE,0,NA,2015-11-15 23:56:55,FALSE,NA,"666042226804449280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aramintaosuna",148,TRUE,FALSE,NA,NA
"50","RT @Jose_Zavarce: Invitemos a nuestros vecinos y familiares a participar en el cambio. Vota #6D",FALSE,0,NA,2015-11-15 23:56:55,FALSE,NA,"666042223583170560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Norma7709",16,TRUE,FALSE,NA,NA
"51","SibciGuarico: La juventud guariqueña invita a votar masivamente este #6D para seguir el legado de nuestro Cmdte. #… https://t.co/GbRzqg3QgH",FALSE,0,NA,2015-11-15 23:56:44,FALSE,NA,"666042179740155908",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Ingstephany",0,FALSE,FALSE,NA,NA
